,distinctiveness,delay,Participant Private ID,hits
0,anticaricature,delay,6888697,0.42857142857142855
1,anticaricature,delay,6888707,0.42857142857142855
2,anticaricature,delay,6888713,0.0
3,anticaricature,delay,6888718,0.42857142857142855
4,anticaricature,delay,6888719,0.0
5,anticaricature,delay,6888720,0.2857142857142857
6,anticaricature,delay,6888725,0.2857142857142857
7,anticaricature,delay,6888727,0.42857142857142855
8,anticaricature,delay,6888730,0.0
9,anticaricature,delay,6888732,0.14285714285714285
10,anticaricature,delay,6888733,0.42857142857142855
11,anticaricature,delay,6888734,0.0
12,anticaricature,delay,6888737,0.14285714285714285
13,anticaricature,delay,6888738,0.2857142857142857
14,anticaricature,delay,6888741,0.2857142857142857
15,anticaricature,delay,6888742,0.14285714285714285
16,anticaricature,delay,6888745,0.0
17,anticaricature,delay,6888747,0.42857142857142855
18,anticaricature,delay,6888748,0.2857142857142857
19,anticaricature,delay,6888749,0.2857142857142857
20,anticaricature,delay,6888752,0.42857142857142855
21,anticaricature,delay,6888754,0.2857142857142857
22,anticaricature,delay,6888759,0.2857142857142857
23,anticaricature,delay,6888761,0.0
24,anticaricature,delay,6897764,0.42857142857142855
25,anticaricature,delay,6897766,0.2857142857142857
26,anticaricature,delay,6897767,0.0
27,anticaricature,delay,6897769,0.2857142857142857
28,anticaricature,delay,6897770,0.2857142857142857
29,anticaricature,delay,6897771,0.2857142857142857
30,anticaricature,delay,6897772,0.42857142857142855
31,anticaricature,delay,6897773,0.14285714285714285
32,anticaricature,delay,6897774,0.0
33,anticaricature,delay,6897775,0.14285714285714285
34,anticaricature,delay,6897776,0.14285714285714285
35,anticaricature,delay,6932549,0.14285714285714285
36,anticaricature,delay,6996452,0.2857142857142857
37,anticaricature,no delay,6679648,0.14285714285714285
38,anticaricature,no delay,6679658,0.42857142857142855
39,anticaricature,no delay,6679659,0.14285714285714285
40,anticaricature,no delay,6679662,0.42857142857142855
41,anticaricature,no delay,6679664,0.2857142857142857
42,anticaricature,no delay,6679667,0.5714285714285714
43,anticaricature,no delay,6679672,0.42857142857142855
44,anticaricature,no delay,6679682,0.8571428571428571
45,anticaricature,no delay,6679690,0.7142857142857143
46,anticaricature,no delay,6679694,0.2857142857142857
47,anticaricature,no delay,6679699,0.2857142857142857
48,anticaricature,no delay,6679700,0.42857142857142855
49,anticaricature,no delay,6679702,0.5714285714285714
50,anticaricature,no delay,6679705,0.2857142857142857
51,anticaricature,no delay,6679707,0.14285714285714285
52,anticaricature,no delay,6679709,0.14285714285714285
53,anticaricature,no delay,6679714,0.2857142857142857
54,anticaricature,no delay,6679718,0.5714285714285714
55,anticaricature,no delay,6679721,0.2857142857142857
56,anticaricature,no delay,6679723,0.8571428571428571
57,anticaricature,no delay,6679728,1.0
58,anticaricature,no delay,6679743,0.5714285714285714
59,anticaricature,no delay,6679747,0.5714285714285714
60,anticaricature,no delay,6679748,0.7142857142857143
61,anticaricature,no delay,6679754,0.42857142857142855
62,anticaricature,no delay,6679758,0.2857142857142857
